Model,Version,Stage,Test Accuracy,Test ROC-AUC,Test F1,Test Precision,Test Recall,CV Accuracy,CV ROC-AUC,Run ID
heart-disease-logistic-regression,1,Production,0.8688524590163934,0.9567099567099567,0.8689934778776661,0.8766252119841718,0.8688524590163934,0.8181972789115646,0.900062497888585,717ff995ff30...
heart-disease-random-forest,1,Production,0.8852459016393442,0.95995670995671,0.8854311382791517,0.8898995240613432,0.8852459016393442,0.801530612244898,0.8865702735267952,7552d97529ac...
